,Ad_Image,Ad_Title,Ad_Location,Ad_Date,Ad_Bedrooms,Ad_Description,Ad_Price,Ad_Currency
0,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7d/7d8e8195-ce7f-417e-b2f4-6f00fe17cf12?rule=kijijica-200-jpg,Large open and airy fully furnished loft in Leslieville.,City of Toronto,11-09-2022,1,"Kick back and relax in this calming, stylish space. This space is my home and was designed to bring you peace and clarity. Two story loft with cloud sofa and memory foam king mattress. 500 square","5,495.00",$
1,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a7/a7ecc5a4-40ce-486a-b482-ba174dab3843?rule=kijijica-200-jpg,Renovated one bedroom St Clair and O'Connor - ID 1279,City of Toronto,06-09-2022,1,"Renovated Akelius one bedroom apartment for rent. O'Connor & St. Clair in the East York neighborhood, Toronto. renovated one bedroom semi-basement - 1 bathroom - approximately 493 square feet -","1,625.00",$
2,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/c8/c8a11da9-69a5-4264-a8f1-04ea67ed6e9a?rule=kijijica-200-jpg,2 Bedroom Basement Apt Separate Entrance By Coxwell & Danforth,Toronto,11-09-2022,2,Location - Less than 3 minutes walk from Coxwell Ave & Michael Garron Hospital (formerly Toronto East General Hospital). - 10 minutes walk from Coxwell Subway Station. - TTC Bus Stop is just numbers,"1,850.00",$
3,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/64/647768cf-cfb8-42ab-a5fe-e1966c1ed5b0?rule=kijijica-200-jpg,Stunning Brand New 2 Bed 2 Bath unit with CN tower and lake view,City of Toronto,07-09-2022,2,"Stunning city, CN tower and water views!! Never lived in, 2 bedroom 2 bathroom condo with parking in the brand new Mirabella Condo Development. Top of the line finishes and appliances throughout.","3,100.00",$
4,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/1a/1aaa650a-7eb4-40ea-ae2f-f6d43ca75017?rule=kijijica-200-jpg,Renovated one bedroom at Dundas & Don Valley Parkway - ID 1313,City of Toronto,31-08-2022,1,"Renovated Akelius one bedroom apartment for rent. Dundas & Don Valley Parkway in the Downtown East neighborhood, Toronto. renovated one bedroom suite - 1 bathroom - located on floor 2 - approximately","1,850.00",$
5,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/c8/c8ede1b6-ddd7-4d90-a1fd-7ed43276fc68?rule=kijijica-200-jpg,Etobicoke 2 Bedroom Apartment for Rent - 40 Stevenson Road,Etobicoke,11-09-2022,2,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (437) 237-8128Virtual Open House: View our units by clicking","2,449.00",$
6,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/b9/b952ce18-53fc-4464-9174-a4572893dbc7?rule=kijijica-200-jpg,Etobicoke 1 Bedroom Apartment for Rent - 40 Stevenson Road,Etobicoke,11-09-2022,1,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (437) 237-8128Virtual Open House: View our units by clicking","2,149.00",$
7,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e1/e1cf1132-2edf-4c4d-b2be-ae396bae2daf?rule=kijijica-200-jpg,Warden & St Clair 1 bedroom reno suites - Pet Friendly!,Scarborough,11-09-2022,1,"50 Burnhill Rd., Scarborough Burnhill Rd. & Warden Ave. Monthly rent: Starting from $1936/month Utilities: Heat included, water and hydro extra Parking: $145 per month/indoor OR $110 per","1,936.00",$
8,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/92/926d5cc1-5dba-4918-847e-17f04e3b3d52?rule=kijijica-200-jpg,Luxury Bachelor ~~ Mid-Rise Building in The Beaches!,Toronto,11-09-2022,Bachelor/Studio,"1150 & 1200 Kingston Rd., The Beaches Victoria Park Ave. & Kingston Rd. Monthly rent: Starting from $1794/month Utilities: Heat included, hydro and water extra Parking: $120 per month/indoor To view","1,794.00",$
9,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/b3/b3dbf774-46b1-41db-b451-66229357e99e?rule=kijijica-200-jpg,Live in The Beaches ~ Renovated Bachelor,Toronto,11-09-2022,Bachelor/Studio,"2367 Queen St East,Scarborough (The Beaches) Queen St. E & Victoria Park Ave Monthly rent: Starting from $1750/month Utilities: Heat included, hydro and water extra Suite Features: Thorough cleaning","1,750.00",$
